Date,Open,High,Low,Close,Adj Close,Volume
"Dec 2, 2021",3.75,3.83,3.68,3.79,3.23,"1,922,400"
"Dec 1, 2021",3.68,3.75,3.6,3.73,3.17,"2,856,100"
"Nov 30, 2021",3.71,3.8,3.65,3.68,3.13,"8,052,300"
"Nov 29, 2021",3.7,3.72,3.63,3.68,3.13,"3,414,700"
"Nov 26, 2021",3.85,3.85,3.7,3.73,3.17,"2,837,100"
"Nov 25, 2021",3.87,3.92,3.81,3.86,3.29,"1,260,900"
"Nov 24, 2021",3.86,3.9,3.84,3.88,3.3,"1,502,300"
"Nov 23, 2021",3.97,4.04,3.86,3.89,3.31,"2,575,500"
"Nov 22, 2021",3.92,4.03,3.91,4.01,3.41,"2,062,500"
"Nov 19, 2021",3.97,4.1,3.91,3.96,3.37,"2,042,400"
"Nov 18, 2021",3.87,4,3.82,3.96,3.37,"2,549,000"
"Nov 17, 2021",3.89,3.9,3.83,3.87,3.29,"957,600"
"Nov 16, 2021",3.89,3.96,3.86,3.86,3.29,"2,878,200"
"Nov 15, 2021",4.01,4.01,3.85,3.89,3.31,"1,743,700"
"Nov 12, 2021",3.94,4.05,3.91,4.02,3.42,"1,447,400"
"Nov 11, 2021",4,4.01,3.9,3.92,3.34,"3,003,000"
"Nov 10, 2021",4.04,4.04,3.95,4,3.4,"1,385,100"
"Nov 9, 2021",4.06,4.09,4.01,4.03,3.43,"1,599,000"
"Nov 8, 2021",4.15,4.15,4.02,4.06,3.46,"1,562,700"
"Nov 5, 2021",4.16,4.22,4.05,4.1,3.49,"2,995,100"
"Nov 3, 2021",4.26,4.26,4.09,4.17,3.55,"3,119,100"
"Nov 2, 2021",4.02,4.25,4.02,4.25,3.62,"4,062,000"
"Nov 1, 2021",3.98,4.04,3.88,4,3.4,"3,123,000"
"Oct 29, 2021",4.1,4.12,3.96,4.01,3.41,"2,572,400"
"Oct 28, 2021",4.2,4.2,4.1,4.14,3.52,"1,936,100"
"Oct 27, 2021",0.079,,,,,
"Oct 27, 2021",4.23,4.23,4.13,4.2,3.57,"1,593,800"
"Oct 26, 2021",4.28,4.34,4.24,4.28,3.58,"1,930,000"
"Oct 25, 2021",4.25,4.37,4.25,4.28,3.58,"1,921,900"
"Oct 22, 2021",4.35,4.35,4.26,4.28,3.58,"2,314,000"
"Oct 21, 2021",4.3,4.37,4.26,4.31,3.6,"7,819,400"
"Oct 20, 2021",4.35,4.38,4.28,4.29,3.58,"4,706,700"
"Oct 18, 2021",4.35,4.43,4.33,4.35,3.63,"5,274,000"
"Oct 15, 2021",4.33,4.39,4.28,4.35,3.63,"3,447,400"
"Oct 14, 2021",4.43,4.43,4.27,4.31,3.6,"4,477,800"
"Oct 13, 2021",4.26,4.5,4.22,4.45,3.72,"10,727,700"
"Oct 12, 2021",4.27,4.32,4.2,4.26,3.56,"8,065,600"
"Oct 11, 2021",4.27,4.32,4.24,4.27,3.57,"7,429,300"
"Oct 8, 2021",4.19,4.28,4.12,4.24,3.54,"5,758,600"
"Oct 7, 2021",4.19,4.24,4.11,4.19,3.5,"6,956,400"
"Oct 6, 2021",3.68,4.25,3.68,4.2,3.51,"34,330,100"
"Oct 5, 2021",3.6,3.68,3.58,3.66,3.06,"5,378,800"
"Oct 4, 2021",3.64,3.65,3.58,3.61,3.02,"3,053,400"
"Oct 1, 2021",3.59,3.65,3.57,3.64,3.04,"7,497,500"
"Sep 30, 2021",3.61,3.67,3.57,3.58,2.99,"7,062,900"
"Sep 29, 2021",3.58,3.65,3.54,3.63,3.03,"3,035,200"
"Sep 28, 2021",3.67,3.67,3.59,3.61,3.02,"4,894,900"
"Sep 27, 2021",3.63,3.67,3.6,3.63,3.03,"3,467,100"
"Sep 24, 2021",3.68,3.68,3.58,3.61,3.02,"3,363,000"
"Sep 23, 2021",3.56,3.68,3.53,3.67,3.07,"6,076,400"
"Sep 22, 2021",3.57,3.59,3.5,3.56,2.97,"4,633,800"
"Sep 21, 2021",3.48,3.59,3.48,3.57,2.98,"8,590,900"
"Sep 20, 2021",3.8,3.8,3.44,3.45,2.88,"8,320,100"
"Sep 17, 2021",3.84,3.88,3.75,3.8,3.17,"10,121,400"
"Sep 15, 2021",3.84,3.9,3.81,3.86,3.22,"2,369,800"
"Sep 14, 2021",3.92,3.92,3.81,3.84,3.21,"2,663,300"
"Sep 13, 2021",3.91,3.93,3.87,3.9,3.26,"1,762,800"
"Sep 10, 2021",3.93,3.97,3.9,3.91,3.27,"2,064,500"
"Sep 9, 2021",3.94,3.98,3.91,3.91,3.27,"3,663,000"
"Sep 8, 2021",3.88,3.99,3.86,3.99,3.33,"4,135,100"
"Sep 7, 2021",3.92,3.95,3.87,3.9,3.26,"1,706,200"
"Sep 6, 2021",4,4.01,3.9,3.94,3.29,"1,499,600"
"Sep 3, 2021",4.02,4.05,3.91,3.98,3.33,"2,128,700"
"Sep 2, 2021",4.11,4.15,4,4,3.34,"4,998,900"
"Sep 1, 2021",4,4.17,3.96,4.11,3.43,"7,446,800"
"Aug 30, 2021",4.15,4.2,4.02,4.03,3.37,"9,411,900"
"Aug 27, 2021",4.16,4.21,4.12,4.17,3.48,"3,542,900"
"Aug 26, 2021",4.11,4.24,4.11,4.16,3.48,"5,577,800"
"Aug 25, 2021",4.16,4.23,4.09,4.11,3.43,"3,587,100"
"Aug 24, 2021",3.92,4.18,3.88,4.16,3.48,"5,910,100"
"Aug 23, 2021",3.95,3.98,3.88,3.91,3.27,"1,903,500"
"Aug 20, 2021",3.8,4.12,3.8,3.92,3.28,"5,060,800"
"Aug 19, 2021",3.9,3.93,3.75,3.79,3.17,"5,149,400"
"Aug 18, 2021",3.77,3.96,3.71,3.85,3.22,"6,039,300"
"Aug 17, 2021",3.63,3.8,3.63,3.74,3.12,"4,927,500"
"Aug 16, 2021",3.51,3.64,3.47,3.63,3.03,"1,846,000"
"Aug 13, 2021",3.51,3.53,3.46,3.51,2.93,"1,751,900"
"Aug 12, 2021",3.45,3.5,3.45,3.47,2.9,"1,436,300"
"Aug 11, 2021",3.43,3.52,3.43,3.48,2.91,"1,823,200"
"Aug 9, 2021",3.49,3.49,3.42,3.43,2.87,"1,616,600"
"Aug 6, 2021",3.44,3.5,3.4,3.5,2.92,"4,234,800"
"Aug 5, 2021",3.4,3.44,3.36,3.44,2.87,"2,271,700"
"Aug 4, 2021",3.38,3.4,3.31,3.37,2.82,"2,163,500"
"Aug 3, 2021",3.33,3.41,3.3,3.41,2.85,"2,369,000"
"Aug 2, 2021",3.43,3.43,3.27,3.3,2.76,"5,640,700"
"Jul 30, 2021",3.63,3.63,3.4,3.4,2.84,"4,903,400"
"Jul 29, 2021",3.57,3.63,3.54,3.63,3.03,"1,733,000"
"Jul 28, 2021",3.6,3.64,3.54,3.56,2.97,"5,476,800"
"Jul 27, 2021",3.61,3.68,3.57,3.58,2.99,"2,584,700"
